state_name,year,ethanol_beer_gallons_per_capita,ethanol_spirit_gallons_per_capita,beer_share_signal,spirit_share_signal,total_selected_signal
District Of Columbia,1978,1.38,3.04,0.2589118198874296,0.5703564727954972,4.42
District Of Columbia,1979,1.42,2.92,0.2679245283018868,0.5509433962264151,4.34
District Of Columbia,1980,1.49,2.94,0.2754158964879852,0.5434380776340111,4.43
District Of Columbia,1981,1.48,2.89,0.2730627306273063,0.533210332103321,4.37
District Of Columbia,1982,1.46,2.88,0.27392120075046905,0.5403377110694184,4.34
District Of Columbia,1983,1.51,2.71,0.2865275142314991,0.5142314990512334,4.22
District Of Columbia,1984,1.51,2.59,0.29206963249516443,0.5009671179883946,4.1
District Of Columbia,1985,1.44,2.35,0.3,0.48958333333333337,3.79
District Of Columbia,1986,1.45,2.09,0.31938325991189426,0.46035242290748896,3.54
District Of Columbia,1987,1.41,2.26,0.3051948051948052,0.4891774891774891,3.67
District Of Columbia,1988,1.38,1.9,0.32701421800947866,0.45023696682464454,3.28
District Of Columbia,1989,1.39,1.72,0.35459183673469385,0.4387755102040816,3.11
District Of Columbia,1990,1.42,1.96,0.34299516908212563,0.4734299516908213,3.38
District Of Columbia,1991,1.42,1.85,0.365038560411311,0.4755784061696658,3.27
District Of Columbia,1992,1.61,1.74,0.3975308641975309,0.42962962962962964,3.35
District Of Columbia,1993,1.51,1.54,0.3994708994708995,0.40740740740740744,3.05
District Of Columbia,1994,1.5,1.52,0.398936170212766,0.4042553191489362,3.02
District Of Columbia,1995,1.49,1.52,0.3941798941798942,0.40211640211640215,3.01
District Of Columbia,1996,1.33,1.47,0.36239782016348776,0.40054495912806537,2.8
District Of Columbia,1997,1.42,1.61,0.37075718015665793,0.42036553524804177,3.0300000000000002
District Of Columbia,1998,1.37,1.57,0.3672922252010724,0.42091152815013405,2.9400000000000004
District Of Columbia,1999,1.38,1.36,0.39204545454545453,0.3863636363636364,2.74
